"id","entity1","entity1_label","relation","entity2","entity2_label","score","sentence","method","entity1_negated","entity1_uncertain","entity1_family","entity1_historical","entity2_negated","entity2_uncertain","entity2_family","entity2_historical","assertion","entity1_cui","entity1_canonical_name","entity1_semantic_group","entity2_cui","entity2_canonical_name","entity2_semantic_group"
"31","conglomerate of focal lesions","DISEASE_DISORDER","AFFECTS","left thyroid lobe","BIOLOGICAL_STRUCTURE","0.8495","Conclusions: conglomerate of focal lesions in the left thyroid lobe (EU-TIRADS-PL 3) and at the border of the left lobe and the isthmus (EU-TIRADS 4).","biolink_bert","False","False","False","False","False","False","False","False","affirmed","","","","C0229582","Structure of left lobe of thyroid gland","ANAT"
"31","conglomerate of focal lesions","DISEASE_DISORDER","AFFECTS","isthmus","BIOLOGICAL_STRUCTURE","0.8546","Conclusions: conglomerate of focal lesions in the left thyroid lobe (EU-TIRADS-PL 3) and at the border of the left lobe and the isthmus (EU-TIRADS 4).","biolink_bert","False","False","False","False","False","False","False","False","affirmed","","","","C1288329","Structure of lower uterine segment","ANAT"
"33","well-demarcated","QUALITATIVE_CONCEPT","INDICATES","lesion","DISEASE_DISORDER","0.8358","In the right lobe a hypoechoic, well-demarcated lesion measuring up to 4x4 mm, TIRADS 4, without increased flow.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","","","","C0221198","Lesion","DISO"
"33","lesion","DISEASE_DISORDER","HAS_SYMPTOM","increased flow","SIGN_SYMPTOM","0.9051","In the right lobe a hypoechoic, well-demarcated lesion measuring up to 4x4 mm, TIRADS 4, without increased flow.","biolink_bert","False","False","False","False","True","False","False","False","negated","C0221198","Lesion","DISO","C0442805","Increase","CONC"
"34","Focal lesions","DISEASE_DISORDER","LOCATED_IN","left lobe","BIOLOGICAL_STRUCTURE","0.8519","Focal lesions: in the left lobe a hypoechoic, well-demarcated lesion measuring 4x4.5x4 mm, TIRADS 4, without increased flow.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","C0221198","Lesion","DISO","C1261077","Structure of left lower lobe of lung","ANAT"
"36","lymphadenopathy","DISEASE_DISORDER","LOCATED_IN","neck","BIOLOGICAL_STRUCTURE","0.7154","No features of lymphadenopathy in the neck.","biolink_bert","True","False","False","False","False","False","False","False","negated","C0497156","Lymphadenopathy","DISO","C0027530","Neck","ANAT"
"39","conglomerate","SIGN_SYMPTOM","ASSOCIATED_WITH","nodules","SIGN_SYMPTOM","0.779","In the lower pole of the left lobe a conglomerate of hypoechoic nodules with fluid spaces and a hypoechoic rim is visible - conglomerate size 25x26x30 mm.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","C0680940","conglomerate","ORGA","C0028259","Nodule","DISO"
"39","nodules","SIGN_SYMPTOM","ASSOCIATED_WITH","fluid spaces","SIGN_SYMPTOM","0.7805","In the lower pole of the left lobe a conglomerate of hypoechoic nodules with fluid spaces and a hypoechoic rim is visible - conglomerate size 25x26x30 mm.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","C0028259","Nodule","DISO","","",""
"41","TIRADS 4","LAB_VALUE","QUANTIFIES","focal lesions","SIGN_SYMPTOM","0.8894","Conclusions: Thyroid with atrophic parenchyma; TIRADS 4 focal lesions for periodic ultrasound follow-up.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","","","","C0221198","Lesion","DISO"
"43","nodule","SIGN_SYMPTOM","AFFECTS","right thyroid lobe","BIOLOGICAL_STRUCTURE","0.8528","Conclusions: stable appearance of the nodule in the right thyroid lobe.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","C0028259","Nodule","DISO","C0229581","Structure of right lobe of thyroid gland","ANAT"
"44","right side","BIOLOGICAL_STRUCTURE","HAS_VOLUME","40.3 ml","VOLUME","0.8748","Dimensions: on the right side 20x22x49 mm, volume 11.5 ml; on the left side 37x36x57 mm, volume 40.3 ml.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","C0205090","Right","CONC","","",""
"44","left side","BIOLOGICAL_STRUCTURE","HAS_VOLUME","40.3 ml","VOLUME","0.8734","Dimensions: on the right side 20x22x49 mm, volume 11.5 ml; on the left side 37x36x57 mm, volume 40.3 ml.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","C0205091","Left","CONC","","",""
"45","focal lesion","SIGN_SYMPTOM","ASSOCIATED_WITH","hypoechoic halo","SIGN_SYMPTOM","0.7841","In the upper third of the right thyroid lobe a solid, hypoechoic focal lesion with a hypoechoic halo, smooth margins and mixed vascularity, measuring up to 13x15x10 mm, is delineated.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","C0221198","Lesion","DISO","","",""
"45","focal lesion","SIGN_SYMPTOM","ASSOCIATED_WITH","smooth margins","SIGN_SYMPTOM","0.7884","In the upper third of the right thyroid lobe a solid, hypoechoic focal lesion with a hypoechoic halo, smooth margins and mixed vascularity, measuring up to 13x15x10 mm, is delineated.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","C0221198","Lesion","DISO","","",""
"46","focal lesion","SIGN_SYMPTOM","ASSOCIATED_WITH","macrocalcification","SIGN_SYMPTOM","0.7912","In the lower third of the right lobe a solid, hypoechoic focal lesion with macrocalcification and no visible vascularity, measuring up to 11x10x11 mm, is visible.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","C0221198","Lesion","DISO","C0520594","Breast Microcalcification","DISO"
"46","focal lesion","SIGN_SYMPTOM","ASSOCIATED_WITH","no visible vascularity","SIGN_SYMPTOM","0.7924","In the lower third of the right lobe a solid, hypoechoic focal lesion with macrocalcification and no visible vascularity, measuring up to 11x10x11 mm, is visible.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","C0221198","Lesion","DISO","","",""
"47","single","QUANTITATIVE_CONCEPT","QUANTIFIES","lesions","SIGN_SYMPTOM","0.8717","In both lobes single cystic-solid, spongiform lesions and colloid cysts are visible.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","C0037179","Unmarried person","LIVB","C0221198","Lesion","DISO"
"49","upper third","AREA","CONTAINS","right thyroid lobe","BIOLOGICAL_STRUCTURE","0.8384","In the upper third of the right thyroid lobe and ventrally, a conglomerate of solid, isoechoic focal lesions with a halo and peripheral vascularity, up to 6x12x5 mm, is delineated (TIRADS 3).","biolink_bert","False","False","False","False","False","False","False","False","affirmed","C0442049","Upper third","CONC","C0229581","Structure of right lobe of thyroid gland","ANAT"
"49","focal lesions","SIGN_SYMPTOM","ASSOCIATED_WITH","peripheral vascularity","SIGN_SYMPTOM","0.7723","In the upper third of the right thyroid lobe and ventrally, a conglomerate of solid, isoechoic focal lesions with a halo and peripheral vascularity, up to 6x12x5 mm, is delineated (TIRADS 3).","biolink_bert","False","False","False","False","False","False","False","False","affirmed","C0221198","Lesion","DISO","C5539692","Peripheral lung neovascularity","DISO"
"49","halo","SIGN_SYMPTOM","ASSOCIATED_WITH","peripheral vascularity","SIGN_SYMPTOM","0.7689","In the upper third of the right thyroid lobe and ventrally, a conglomerate of solid, isoechoic focal lesions with a halo and peripheral vascularity, up to 6x12x5 mm, is delineated (TIRADS 3).","biolink_bert","False","False","False","False","False","False","False","False","affirmed","C0181278","Halo brace","DEVI","C5539692","Peripheral lung neovascularity","DISO"
"50","CT examination","DIAGNOSTIC_PROCEDURE","OCCURS_AT","2 July 2021","DATE","0.889","The lesion was visible at the edge of the scanned field on the CT examination of 2 July 2021.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","C0031809","Physical Examination","PROC","","",""
"50","TIRADS 4","LAB_VALUE","IS_VALUE_OF","biopsy","DIAGNOSTIC_PROCEDURE","0.8232","TIRADS 4 according to ACR TI-RADS 2017, for biopsy.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","","","","C0005558","Biopsy","PROC"
"51","pathological lymph nodes","SIGN_SYMPTOM","AFFECTS","thyroid","BIOLOGICAL_STRUCTURE","0.8585","I see no pathological lymph nodes adjacent to the thyroid.","biolink_bert","True","False","False","False","False","False","False","False","negated","C0030664","Pathology","OCCU","C0040132","Thyroid Gland","ANAT"
"51","Pyramidal lobe","BIOLOGICAL_STRUCTURE","LOCATED_IN","right side","AREA","0.8427","Pyramidal lobe on the right side.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","C0229584","Structure of pyramidal lobe of thyroid","ANAT","C0205090","Right","CONC"
"51","lesion","SIGN_SYMPTOM","AFFECTS","thyroid","BIOLOGICAL_STRUCTURE","0.8722","Conclusions: lesion in the right thyroid lobe for biopsy.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","C0221198","Lesion","DISO","C0040132","Thyroid Gland","ANAT"
"51","lesion","SIGN_SYMPTOM","AFFECTS","right thyroid lobe","BIOLOGICAL_STRUCTURE","0.8726","Conclusions: lesion in the right thyroid lobe for biopsy.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","C0221198","Lesion","DISO","C0229581","Structure of right lobe of thyroid gland","ANAT"
"53","pathological","SIGN_SYMPTOM","AFFECTS","lymph nodes","BIOLOGICAL_STRUCTURE","0.8633","No pathological, enlarged lymph nodes found in the neck.","biolink_bert","True","False","False","False","True","False","False","False","negated","C0030664","Pathology","OCCU","C0024204","lymph nodes","ANAT"
"53","enlarged","SIGN_SYMPTOM","AFFECTS","lymph nodes","BIOLOGICAL_STRUCTURE","0.8532","No pathological, enlarged lymph nodes found in the neck.","biolink_bert","True","False","False","False","True","False","False","False","negated","C0442800","Enlarged","CONC","C0024204","lymph nodes","ANAT"
"54","nodular lesion","SIGN_SYMPTOM","ASSOCIATED_WITH","peripheral vascularity","SIGN_SYMPTOM","0.7781","In the lower pole of the left thyroid lobe a nodular lesion is visible, well circumscribed, normoechoic, spongiform, with peripheral vascularity, measuring 11x8x13 mm, TIRADS 1.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","C1518345","Nodular lesions","DISO","C5539692","Peripheral lung neovascularity","DISO"
"58","pathological, enlarged lymph nodes","SIGN_SYMPTOM","AFFECTS","neck","BIOLOGICAL_STRUCTURE","0.8187","No pathological, enlarged lymph nodes found in the neck.","biolink_bert","True","False","False","False","False","False","False","False","negated","C4282165","Swollen Lymph Node","DISO","C0027530","Neck","ANAT"
"59","Nodules","SIGN_SYMPTOM","LOCATED_IN","thyroid lobes","BIOLOGICAL_STRUCTURE","0.8405","Nodules in both thyroid lobes.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","C0028259","Nodule","DISO","C0040132","Thyroid Gland","ANAT"
"60","focal lesion","SIGN_SYMPTOM","QUANTIFIES","TIRADS 2","LAB_VALUE","0.827","In the right lobe a cystic-solid focal lesion measuring 9x9x16 mm, clearly demarcated from the surroundings, with a spongiform structure - TIRADS 2.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","C0221198","Lesion","DISO","","",""
"61","hypoechoic focus","SIGN_SYMPTOM","QUANTIFIES","TIRADS 4","LAB_VALUE","0.8476","Below this lesion, dorsally, there is a hypoechoic focus measuring 4x5x7 mm - TIRADS 4.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","C3829578","Hypoechoic Focus","DISO","","",""
"61","nodules","SIGN_SYMPTOM","AFFECTS","thyroid lobes","BIOLOGICAL_STRUCTURE","0.8461","Conclusion: nodules in both thyroid lobes.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","C0028259","Nodule","DISO","C0040132","Thyroid Gland","ANAT"
"62","Dominant lesion","SIGN_SYMPTOM","AFFECTS","right lobe","BIOLOGICAL_STRUCTURE","0.8815","Dominant lesion in the right lobe, TIRADS 2, stable in size.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","C1527180","Dominant","CONC","C1261075","Structure of right lower lobe of lung","ANAT"
"62","Dominant lesion","SIGN_SYMPTOM","QUANTIFIES","TIRADS 2","LAB_VALUE","0.9081","Dominant lesion in the right lobe, TIRADS 2, stable in size.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","C1527180","Dominant","CONC","","",""
"62","Focus","SIGN_SYMPTOM","AFFECTS","right lobe","BIOLOGICAL_STRUCTURE","0.852","Focus in the right lobe, TIRADS 4, for observation.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","C0205234","Focal","CONC","C1261075","Structure of right lower lobe of lung","ANAT"
"62","Focus","SIGN_SYMPTOM","QUANTIFIES","TIRADS 4","LAB_VALUE","0.8855","Focus in the right lobe, TIRADS 4, for observation.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","C0205234","Focal","CONC","","",""
"67","pathological","QUALITATIVE_CONCEPT","INDICATES","enlarged lymph nodes","SIGN_SYMPTOM","0.8336","No pathological, enlarged lymph nodes found in the neck.","biolink_bert","True","False","False","False","True","False","False","False","negated","C0030664","Pathology","OCCU","C4282165","Swollen Lymph Node","DISO"
"67","enlarged lymph nodes","SIGN_SYMPTOM","AFFECTS","neck","BIOLOGICAL_STRUCTURE","0.812","No pathological, enlarged lymph nodes found in the neck.","biolink_bert","True","False","False","False","False","False","False","False","negated","C4282165","Swollen Lymph Node","DISO","C0027530","Neck","ANAT"
"68","lesion","SIGN_SYMPTOM","ASSOCIATED_WITH","hypoechoic rim","SIGN_SYMPTOM","0.8338","In the mid portion of the left lobe an isoechoic lesion with a hypoechoic rim measuring 9x6x6 mm.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","C0221198","Lesion","DISO","C3829578","Hypoechoic Focus","DISO"
"74","solid nodule","SIGN_SYMPTOM","ASSOCIATED_WITH","calcification","SIGN_SYMPTOM","0.7821","In the right lobe a hypoechoic, heterogeneous solid nodule with a lobulated margin and a single hyperechoic calcification, measuring 5x4x3 mm, stable relative to the previous examination.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","C4761375","Solid Nodule","DISO","C0006660","Physiologic calcification","PHYS"
"74","single","QUANTITATIVE_CONCEPT","QUANTIFIES","calcification","SIGN_SYMPTOM","0.8164","In the right lobe a hypoechoic, heterogeneous solid nodule with a lobulated margin and a single hyperechoic calcification, measuring 5x4x3 mm, stable relative to the previous examination.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","C0037179","Unmarried person","LIVB","C0006660","Physiologic calcification","PHYS"
"75","regrowth","SIGN_SYMPTOM","LOCATED_IN","left side","AREA","0.7604","In the surgical bed, glandular tissue of echogenicity higher than the surrounding muscles was visualised, located low in the neck; the regrowth on the left side extends below the sternal notch and displaces the trachea to the right.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","C0018270","Growth","PHYS","C0205091","Left","CONC"
"75","regrowth","SIGN_SYMPTOM","AFFECTS","sternal notch","BIOLOGICAL_STRUCTURE","0.7673","In the surgical bed, glandular tissue of echogenicity higher than the surrounding muscles was visualised, located low in the neck; the regrowth on the left side extends below the sternal notch and displaces the trachea to the right.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","C0018270","Growth","PHYS","C0038293","Sternum","ANAT"
"75","regrowth","SIGN_SYMPTOM","ASSOCIATED_WITH","displaces the trachea to the right","SIGN_SYMPTOM","0.7367","In the surgical bed, glandular tissue of echogenicity higher than the surrounding muscles was visualised, located low in the neck; the regrowth on the left side extends below the sternal notch and displaces the trachea to the right.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","C0018270","Growth","PHYS","","",""
"76","regrowth","SIGN_SYMPTOM","ASSOCIATED_WITH","focal lesions","SIGN_SYMPTOM","0.7845","Bilaterally within the regrowth, solid-cystic focal lesions with calcifications forming conglomerates; the largest of them on the left side measuring 25x20x42 mm.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","C0018270","Growth","PHYS","C0221198","Lesion","DISO"
"76","focal lesions","SIGN_SYMPTOM","LOCATED_IN","left side","AREA","0.8153","Bilaterally within the regrowth, solid-cystic focal lesions with calcifications forming conglomerates; the largest of them on the left side measuring 25x20x42 mm.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","C0221198","Lesion","DISO","C0205091","Left","CONC"
"77","pathological nodal reflections","SIGN_SYMPTOM","AFFECTS","carotid vessels","BIOLOGICAL_STRUCTURE","0.8152","No pathological nodal reflections visualised along the carotid vessels bilaterally.","biolink_bert","True","False","False","False","False","False","False","False","negated","","","","C1508554","Carotid vessel","ANAT"
"77","pathological nodal reflections","SIGN_SYMPTOM","LOCATED_IN","bilaterally","AREA","0.7816","No pathological nodal reflections visualised along the carotid vessels bilaterally.","biolink_bert","True","False","False","False","False","False","False","False","negated","","","","C0238767","Bilateral","CONC"
"77","carotid vessels","BIOLOGICAL_STRUCTURE","LOCATED_IN","bilaterally","AREA","0.7991","No pathological nodal reflections visualised along the carotid vessels bilaterally.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","C1508554","Carotid vessel","ANAT","C0238767","Bilateral","CONC"
"79","Left lobe","BIOLOGICAL_STRUCTURE","HAS_VOLUME","1 ml","VOLUME","0.8357","Thyroid dimensions: Right lobe measuring 7x9x27 mm, volume 0.9 ml; Left lobe measuring 9x9x24 mm, volume 1 ml; Isthmus measuring 2 mm.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","C1261077","Structure of left lower lobe of lung","ANAT","C0439242","milliliter","CONC"
"80","enlarged","SIGN_SYMPTOM","AFFECTS","perithyroid lymph nodes","BIOLOGICAL_STRUCTURE","0.8661","No enlarged perithyroid lymph nodes demonstrated.","biolink_bert","True","False","False","False","True","False","False","False","negated","C0442800","Enlarged","CONC","","",""
"82","hyperechoic focal lesions","SIGN_SYMPTOM","ASSOCIATED_WITH","hypoechoic rim","SIGN_SYMPTOM","0.8094","In the right lobe, hyperechoic focal lesions with a hypoechoic rim are visible, vascularised mainly peripherally.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","","","","C3829578","Hypoechoic Focus","DISO"
"82","hyperechoic focal lesions","SIGN_SYMPTOM","ASSOCIATED_WITH","vascularised","SIGN_SYMPTOM","0.8081","In the right lobe, hyperechoic focal lesions with a hypoechoic rim are visible, vascularised mainly peripherally.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","","","","C0042382","Vascularization","CONC"
"82","vascularised","SIGN_SYMPTOM","LOCATED_IN","peripherally","AREA","0.8332","In the right lobe, hyperechoic focal lesions with a hypoechoic rim are visible, vascularised mainly peripherally.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","C0042382","Vascularization","CONC","C0205100","Peripheral","CONC"
"83","Changes","SIGN_SYMPTOM","CAUSES","autoimmune thyroiditis","DISEASE_DISORDER","0.8656","Changes in the course of autoimmune thyroiditis or a focal lesion - for observation.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","C0392747","Changing","CONC","C0677607","Hashimoto Disease","DISO"
"83","Changes","SIGN_SYMPTOM","ASSOCIATED_WITH","focal lesion","SIGN_SYMPTOM","0.8019","Changes in the course of autoimmune thyroiditis or a focal lesion - for observation.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","C0392747","Changing","CONC","C0221198","Lesion","DISO"
"83","Changes","SIGN_SYMPTOM","TREATS","observation","THERAPEUTIC_PROCEDURE","0.8155","Changes in the course of autoimmune thyroiditis or a focal lesion - for observation.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","C0392747","Changing","CONC","C0302523","Observation in research","PROC"
"86","focal lesions","SIGN_SYMPTOM","AFFECTS","parenchyma","BIOLOGICAL_STRUCTURE","0.8107","No prominent focal lesions were visualised in the parenchyma.","biolink_bert","True","False","False","False","False","False","False","False","negated","C0221198","Lesion","DISO","C0933845","Parenchyma","ANAT"
"87","lesion","DISEASE_DISORDER","AFFECTS","right side","BIOLOGICAL_STRUCTURE","0.8823","The largest lesion on the right side lies in the middle third, centrally and ventrally, and measures 10x11x8 mm, EU-TIRADS 4.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","C0221198","Lesion","DISO","C0205090","Right","CONC"
"87","lesion","DISEASE_DISORDER","AFFECTS","middle third","AREA","0.8767","The largest lesion on the right side lies in the middle third, centrally and ventrally, and measures 10x11x8 mm, EU-TIRADS 4.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","C0221198","Lesion","DISO","C0442050","Middle third","CONC"
"87","lesion","DISEASE_DISORDER","AFFECTS","centrally","AREA","0.8791","The largest lesion on the right side lies in the middle third, centrally and ventrally, and measures 10x11x8 mm, EU-TIRADS 4.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","C0221198","Lesion","DISO","C0205099","Central","CONC"
"87","lesion","DISEASE_DISORDER","AFFECTS","ventrally","AREA","0.8795","The largest lesion on the right side lies in the middle third, centrally and ventrally, and measures 10x11x8 mm, EU-TIRADS 4.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","C0221198","Lesion","DISO","C1704448","Ventral","CONC"
"88","lower third","AREA","CONTAINS","left lobe","BIOLOGICAL_STRUCTURE","0.8578","In the lower third of the left lobe and at the border with the isthmus, a large focus of similar morphology, up to 15x16x9 mm, is delineated.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","C0442051","Lower third","CONC","C1261077","Structure of left lower lobe of lung","ANAT"
"89","lesion","DISEASE_DISORDER","DIAGNOSES","biopsied","DIAGNOSTIC_PROCEDURE","0.9222","For fine-needle biopsy if the lesion has not been biopsied previously.","biolink_bert","False","False","False","False","True","False","False","False","negated","C0221198","Lesion","DISO","C0005558","Biopsy","PROC"
"89","biopsied","DIAGNOSTIC_PROCEDURE","OCCURS_AT","previously","TIME","0.9217","For fine-needle biopsy if the lesion has not been biopsied previously.","biolink_bert","True","False","False","False","True","False","False","False","negated","C0005558","Biopsy","PROC","C0205156","Previous","CONC"
"90","lesions","DISEASE_DISORDER","CAUSES","focus","DISEASE_DISORDER","0.9017","Among all the lesions, the largest focus stands out, in the left lobe in the upper third and adjacent to the vessels.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","C0221198","Lesion","DISO","C0205234","Focal","CONC"
"90","lesions","DISEASE_DISORDER","AFFECTS","left lobe","BIOLOGICAL_STRUCTURE","0.8713","Among all the lesions, the largest focus stands out, in the left lobe in the upper third and adjacent to the vessels.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","C0221198","Lesion","DISO","C1261077","Structure of left lower lobe of lung","ANAT"
"90","focus","DISEASE_DISORDER","LOCATED_IN","left lobe","BIOLOGICAL_STRUCTURE","0.8649","Among all the lesions, the largest focus stands out, in the left lobe in the upper third and adjacent to the vessels.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","C0205234","Focal","CONC","C1261077","Structure of left lower lobe of lung","ANAT"
"90","left lobe","BIOLOGICAL_STRUCTURE","LOCATED_IN","upper third","AREA","0.8611","Among all the lesions, the largest focus stands out, in the left lobe in the upper third and adjacent to the vessels.","biolink_bert","False","False","False","False","False","False","False","False","affirmed","C1261077","Structure of left lower lobe of lung","ANAT","C0442049","Upper third","CONC"
"91","lesion","DISEASE_DISORDER","DIAGNOSES","biopsied","DIAGNOSTIC_PROCEDURE","0.8964","I recommend fine-needle biopsy here if the lesion has not been biopsied previously.","biolink_bert","False","False","False","False","True","False","False","False","negated","C0221198","Lesion","DISO","C0005558","Biopsy","PROC"
"91","biopsied","DIAGNOSTIC_PROCEDURE","OCCURS_AT","previously","TIME","0.9185","I recommend fine-needle biopsy here if the lesion has not been biopsied previously.","biolink_bert","True","False","False","False","True","False","False","False","negated","C0005558","Biopsy","PROC","C0205156","Previous","CONC"
"93","pathological lymph nodes","SIGN_SYMPTOM","AFFECTS","adjacent to","BIOLOGICAL_STRUCTURE","0.8722","I see no pathological lymph nodes adjacent to the thyroid.","biolink_bert","True","False","False","False","True","False","False","False","negated","C0030664","Pathology","OCCU","C0205117","Adjacent","CONC"
"94","normally positioned","SIGN_SYMPTOM","ASSOCIATED_WITH","enlarged","SIGN_SYMPTOM","0.8152","Thyroid normally positioned, not enlarged, with smooth external outlines.","biolink_bert","False","False","False","False","True","False","False","False","negated","","","","C0442800","Enlarged","CONC"
"94","enlarged","SIGN_SYMPTOM","ASSOCIATED_WITH","smooth external outlines","SIGN_SYMPTOM","0.8212","Thyroid normally positioned, not enlarged, with smooth external outlines.","biolink_bert","True","False","False","False","True","False","False","False","negated","C0442800","Enlarged","CONC","","",""
