"key","name","entity_type","cui","count"
"10x8x35 mm","10x8x35 mm","DISTANCE","","1"
"10x8x9 mm","10x8x9 mm","DISTANCE","","1"
"10x9x13 mm","10x9x13 mm","DISTANCE","","1"
"11 of the 15","11 of the 15","DOSAGE","","1"
"11.3x8.4 cm","11.3x8.4 cm","DISTANCE","","1"
"11.5 ml","11.5 ml","VOLUME","","2"
"11.7 ml","11.7 ml","VOLUME","","2"
"11.7 mm","11.7 mm","VOLUME","","1"
"11/2022","11/2022","DATE","","1"
"110x120 mm","110x120 mm","DISTANCE","","6"
"11:15","11:15","TIME","","1"
"11x10x11 mm","11x10x11 mm","DISTANCE","","2"
"11x11x39 mm","11x11x39 mm","DISTANCE","","1"
"11x23x19 mm","11x23x19 mm","DISTANCE","","1"
"11x5x9 mm","11x5x9 mm","DISTANCE","","1"
"11x8x13 mm","11x8x13 mm","DISTANCE","","2"
"11x8x22 mm","11x8x22 mm","DISTANCE","","1"
"11x9 mm","11x9 mm","DISTANCE","","1"
"11x9x21 mm","11x9x21 mm","DISTANCE","","1"
"12 by 45 by 18 millimetres","12 by 45 by 18 millimetres","DISTANCE","","1"
"12 o'clock","12 o'clock","AREA","","2"
"12 years ago","12 years ago","DATE","","1"
"12-13","12-13","TIME","","1"
"12.5 ml","12.5 ml","VOLUME","","1"
"12.7 ml","12.7 ml","VOLUME","","2"
"12.9","12.9","LAB_VALUE","","1"
"120 ms","120 ms","LAB_VALUE","","2"
"12:00","12:00","TIME","","2"
"12x12x38 mm","12x12x38 mm","DISTANCE","","1"
"12x13x39 mm","12x13x39 mm","DISTANCE","","4"
"12x16x18 mm","12x16x18 mm","DISTANCE","","1"
"12x45x18 mm","12x45x18 mm","DISTANCE","","1"
"12x9 mm","12x9 mm","DISTANCE","","1"
"12x9x31 mm","12x9x31 mm","DISTANCE","","1"
"13 March 2023","13 March 2023","DATE","","1"
"13 by 12 mm","13 by 12 mm","DISTANCE","","1"
"13 by 15 by 22 millimetres","13 by 15 by 22 millimetres","DISTANCE","","1"
"13.4 ml","13.4 ml","VOLUME","","1"
"13/02/2023","13/02/2023","DATE","","1"
"13x12x48 mm","13x12x48 mm","DISTANCE","","1"
"13x13x19 mm","13x13x19 mm","DISTANCE","","1"
"13x13x35 mm","13x13x35 mm","DISTANCE","","1"
"13x15x10 mm","13x15x10 mm","DISTANCE","","2"
"13x15x22 mm","13x15x22 mm","DISTANCE","","3"
"13x15x46 mm","13x15x46 mm","DISTANCE","","1"
"13x16x53 mm","13x16x53 mm","DISTANCE","","1"
"13x17x39 mm","13x17x39 mm","DISTANCE","","1"
"13x19x9 mm","13x19x9 mm","DISTANCE","","2"
"13x6 mm","13x6 mm","DISTANCE","","1"
"13x7 mm","13x7 mm","DISTANCE","","2"
"14 by 16 by 42 millimetres","14 by 16 by 42 millimetres","DISTANCE","","1"
"14/03/2023","14/03/2023","DATE","","1"
"140 ms","140 ms","LAB_VALUE","","4"
"140/90 mmHg","140/90 mmHg","LAB_VALUE","","1"
"14x10x41 mm","14x10x41 mm","DISTANCE","","1"
"14x11 mm","14x11 mm","DISTANCE","","3"
"14x12x45 mm","14x12x45 mm","DISTANCE","","4"
"14x13x54 mm","14x13x54 mm","DISTANCE","","1"
"14x13x57 mm","14x13x57 mm","DISTANCE","","1"
"14x14x41 mm","14x14x41 mm","DISTANCE","","1"
"14x15x40 mm","14x15x40 mm","DISTANCE","","1"
"14x15x47 mm","14x15x47 mm","DISTANCE","","1"
"14x16x42 ml","14x16x42 ml","DISTANCE","","1"
"14x16x42 mm","14x16x42 mm","DISTANCE","","2"
"14x17x47 mm","14x17x47 mm","DISTANCE","","1"
"14x18x52 mm","14x18x52 mm","DISTANCE","","1"
"14x19x27 mm","14x19x27 mm","DISTANCE","","1"
"14x19x47 mm","14x19x47 mm","DISTANCE","","1"
"14x5x4 mm","14x5x4 mm","DISTANCE","","1"
"14x8x16 mm","14x8x16 mm","DISTANCE","","1"
"15 March 2011","15 March 2011","DATE","","3"
"15 March 2023","15 March 2023","DATE","","2"
"15 by 57 by 16 millimetres","15 by 57 by 16 millimetres","DISTANCE","","1"
"15 x 18 x 47 mm","15 x 18 x 47 mm","DISTANCE","","1"
"15%","15%","QUANTITATIVE_CONCEPT","","1"
"150 mg/l","150 mg/l","LAB_VALUE","","1"
"1500 ml","1500 ml","VOLUME","","1"
"155 ms","155 ms","DURATION","","1"
"15x10 mm","15x10 mm","DISTANCE","","1"
"15x11 mm","15x11 mm","AREA","","1"
"15x11x18 mm","15x11x18 mm","DISTANCE","","1"
"15x13x19 mm","15x13x19 mm","DISTANCE","","2"
"15x13x56 mm","15x13x56 mm","DISTANCE","","1"
"15x14x47 mm","15x14x47 mm","DISTANCE","","1"
"15x16x47 mm","15x16x47 mm","DISTANCE","","1"
"15x16x53 mm","15x16x53 mm","DISTANCE","","1"
"15x16x9 mm","15x16x9 mm","DISTANCE","","2"
"15x5 mm","15x5 mm","DISTANCE","","3"
"15x57x16 mm","15x57x16 mm","DISTANCE","","1"
"15x7x21 mm","15x7x21 mm","DISTANCE","","1"
"16 June 2023","16 June 2023","DATE","","1"
"16 May 2023","16 May 2023","DATE","","2"
"16 ng/ml","16 ng/ml","LAB_VALUE","","1"
"16.5 Gy","16.5 Gy","DOSAGE","","1"
"160 mg/dl","160 mg/dl","LAB_VALUE","","1"
"160 ms","160 ms","TIME","","1"
"16x13x20 mm","16x13x20 mm","DISTANCE","","1"
"16x15x44 mm","16x15x44 mm","DISTANCE","","1"
"16x15x45 mm","16x15x45 mm","DISTANCE","","2"
"16x15x46 mm","16x15x46 mm","DISTANCE","","2"
"16x16x45 mm","16x16x45 mm","DISTANCE","","1"
"16x16x52 mm","16x16x52 mm","DISTANCE","","1"
"16x18x29 mm","16x18x29 mm","DISTANCE","","1"
"16x4 mm","16x4 mm","DISTANCE","","1"
"16x9 mm","16x9 mm","AREA","","1"
"17 May 2023","17 May 2023","DATE","","1"
"17-24-22 mm","17-24-22 mm","LAB_VALUE","","2"
"17.6","17.6","LAB_VALUE","","1"
"17.8 ml","17.8 ml","VOLUME","","2"
"17G","17G","MASS","","1"
"17x15x45 mm","17x15x45 mm","DISTANCE","","1"
"17x17x57 mm","17x17x57 mm","DISTANCE","","1"
"17x4 mm","17x4 mm","DISTANCE","","1"
"17x43x18 mm","17x43x18 mm","DISTANCE","","1"
"18x15x53 mm","18x15x53 mm","DISTANCE","","1"
"18x16x41 mm","18x16x41 mm","DISTANCE","","1"
"18x18x45 mm","18x18x45 mm","DISTANCE","","1"
"18x18x48 mm","18x18x48 mm","DISTANCE","","1"
"18x20x59 mm","18x20x59 mm","DISTANCE","","1"
"18x25x28 mm","18x25x28 mm","DISTANCE","","1"
"18x8 mm","18x8 mm","DISTANCE","","1"
"19 July 2022","19 July 2022","DATE","","1"
"19 by 22 by 54 millimetres","19 by 22 by 54 millimetres","DISTANCE","","1"
"19 by 22 by 57 millimetres","19 by 22 by 57 millimetres","DISTANCE","","1"
"19 cm/s","19 cm/s","LAB_VALUE","","2"
"19 x 16 x 45 mm","19 x 16 x 45 mm","DISTANCE","","1"
"190 ms","190 ms","TIME","","1"
"1981","1981","DATE","","2"
"19x13x30 mm","19x13x30 mm","DISTANCE","","1"
"19x14x27 mm","19x14x27 mm","DISTANCE","","1"
"19x15x11 mm","19x15x11 mm","DISTANCE","","2"
"19x15x46 mm","19x15x46 mm","DISTANCE","","1"
"19x16x25 mm","19x16x25 mm","DISTANCE","","1"
"19x20x55 mm","19x20x55 mm","DISTANCE","","1"
"19x22x54 mm","19x22x54 mm","DISTANCE","","2"
"19x22x57 mm","19x22x57 mm","DISTANCE","","1"
"19x9 mm","19x9 mm","DISTANCE","","1"
"2 July 2021","2 July 2021","DATE","","2"
"2 kg","2 kg","MASS","","1"
"2-3/6","2-3/6","SEVERITY","","1"
"2.0 mm","2.0 mm","DISTANCE","","1"
"2.4 mm","2.4 mm","DISTANCE","","1"
"2.5 mg","2.5 mg","DOSAGE","","1"
"2.5 ml","2.5 ml","VOLUME","","1"
"2.5 mm","2.5 mm","DISTANCE","","2"
"2.6 ml","2.6 ml","VOLUME","","1"
"2.6 mm","2.6 mm","DISTANCE","","1"
"2.8 ml","2.8 ml","VOLUME","","1"
"2/3","2/3","QUANTITATIVE_CONCEPT","","1"
"20 April 2023","20 April 2023","DATE","","1"
"20 February 2023","20 February 2023","DATE","","1"
"20 mg/kg","20 mg/kg","DOSAGE","","1"
"20-30 mm","20-30 mm","DISTANCE","","1"
"20/02/2023","20/02/2023","DATE","","1"
"2000-2100 kcal","2000-2100 kcal","QUANTITATIVE_CONCEPT","","1"
"2011","2011","DATE","","4"
"2013","2013","DATE","","3"
"2015","2015","DATE","","5"
"2016","2016","DATE","","5"
"2018","2018","DATE","","2"
"2019","2019","DATE","","2"
"20x10x14 mm","20x10x14 mm","DISTANCE","","1"
"20x14 mm","20x14 mm","AREA","","1"
"20x14x16 mm","20x14x16 mm","DISTANCE","","1"
"20x14x30 mm","20x14x30 mm","DISTANCE","","2"
"20x15 mm","20x15 mm","DISTANCE","","1"
"20x22x49 mm","20x22x49 mm","DISTANCE","","3"
"20x25x41 mm","20x25x41 mm","DISTANCE","","1"
"20x52x18 mm","20x52x18 mm","DISTANCE","","1"
"21 March 2023","21 March 2023","DATE","","2"
"21 years ago","21 years ago","DATE","","1"
"21x12 mm","21x12 mm","DISTANCE","","1"
"21x15x50 mm","21x15x50 mm","DISTANCE","","1"
"21x19x47 mm","21x19x47 mm","DISTANCE","","1"
"21x19x49 mm","21x19x49 mm","DISTANCE","","2"
"21x22x18 mm","21x22x18 mm","DISTANCE","","1"
"21x24x26 mm","21x24x26 mm","DISTANCE","","1"
"21x4 mm","21x4 mm","DISTANCE","","1"
"22 February 2022","22 February 2022","DATE","","1"
"22 by 18 by 57 millimetres","22 by 18 by 57 millimetres","DISTANCE","","2"
"22:00","22:00","TIME","","3"
"22x11 mm","22x11 mm","DISTANCE","","1"
"22x18x57 mm","22x18x57 mm","DISTANCE","","3"
"22x22x60 mm","22x22x60 mm","DISTANCE","","1"
"22x64x18 mm","22x64x18 mm","DISTANCE","","1"
"23 February 2023","23 February 2023","DATE","","1"
"23 January 2023","23 January 2023","DATE","","1"
"23.1","23.1","LAB_VALUE","","1"
"23/05","23/05","DATE","","1"
"23:00","23:00","TIME","","1"
"23x16x24 mm","23x16x24 mm","DISTANCE","","1"
"23x18x52 mm","23x18x52 mm","DISTANCE","","2"
"23x20 mm","23x20 mm","DISTANCE","","1"
"23x25x58 mm","23x25x58 mm","DISTANCE","","1"
"23x47x20 mm","23x47x20 mm","DISTANCE","","1"
"23x59x21 mm","23x59x21 mm","DISTANCE","","1"
"24-hour calcium loss","24-hour calcium loss","DIAGNOSTIC_PROCEDURE","","1"
"24-hour urine collection for catecholamine metabolites","24-hour urine collection for catecholamine metabolites","DIAGNOSTIC_PROCEDURE","","1"
"241.1 MBq","241.1 MBq","DOSAGE","","2"
"244 MBq","244 MBq","DOSAGE","","1"
"24x20x10 mm","24x20x10 mm","DISTANCE","","2"
"24x40x18 mm","24x40x18 mm","DISTANCE","","1"
"24x9 mm","24x9 mm","DISTANCE","","1"
"25 by 25 by 52 millimetres","25 by 25 by 52 millimetres","DISTANCE","","1"
"25 by 26 by 30 millimetres","25 by 26 by 30 millimetres","DISTANCE","","1"
"25.4 ml","25.4 ml","VOLUME","","1"
"25/02/2022","25/02/2022","DATE","","1"
"25x20x42 mm","25x20x42 mm","DISTANCE","","1"
"25x25x52 mm","25x25x52 mm","DISTANCE","","2"
"25x26x30 mm","25x26x30 mm","DISTANCE","","2"
"25x71x22 mm","25x71x22 mm","DISTANCE","","1"
"26 April 2023","26 April 2023","DATE","","2"
"26.6 ml","26.6 ml","VOLUME","","1"
"26x17x55 mm","26x17x55 mm","DISTANCE","","1"
"26x30x24 mm","26x30x24 mm","DISTANCE","","2"
"27 March 2022","27 March 2022","DATE","","1"
"27 March 2023","27 March 2023","DATE","","3"
"28 May 2023","28 May 2023","DATE","","1"
"28 fractions","28 fractions","DOSAGE","","1"
"28/07/2021","28/07/2021","DATE","","1"
"28x51x26 mm","28x51x26 mm","DISTANCE","","1"
"29 June 2022","29 June 2022","DATE","","2"
"29/01/2020","29/01/2020","DATE","","1"
"2x","2x","FREQUENCY","","1"
"2x2 mm","2x2 mm","DISTANCE","","1"
"2x2.5 mm","2x2.5 mm","DISTANCE","","1"
"3 by 3 by 3 millimetres","3 by 3 by 3 millimetres","DISTANCE","","1"
"3 litres","3 litres","VOLUME","","1"
"3+4","3+4","LAB_VALUE","","2"
"3, 2, 1","3, 2, 1","DETAILED_DESCRIPTION","","1"
"3-4 mm","3-4 mm","DISTANCE","","1"
"3.1 ml","3.1 ml","VOLUME","","1"
"3.125 mg","3.125 mg","DOSAGE","","1"
"3.7 ml","3.7 ml","VOLUME","","4"
"3.8","3.8","LAB_VALUE","","1"
"3.8 ml","3.8 ml","VOLUME","","1"
"3.9 ml","3.9 ml","VOLUME","","2"
"3/11/2021","3/11/2021","DATE","","1"
"30 fractions","30 fractions","DOSAGE","","1"
"30 to 2","30 to 2","FREQUENCY","","2"
"30/03/2022","30/03/2022","DATE","","1"
"30/09/2021","30/09/2021","DATE","","1"
"300 J","300 J","DOSAGE","","1"
"300 mg","300 mg","DOSAGE","","4"
"30x11 mm","30x11 mm","DISTANCE","","1"
"310 ms","310 ms","DURATION","","3"
"31x21x56 mm","31x21x56 mm","DISTANCE","","1"
"31x25x56 mm","31x25x56 mm","DISTANCE","","1"
"31x39x22 mm","31x39x22 mm","DISTANCE","","1"
"32x21 mm","32x21 mm","AREA","","1"
"33x22x67 mm","33x22x67 mm","DISTANCE","","1"
"34x28x74 mm","34x28x74 mm","DISTANCE","","1"
"35%","35%","QUANTITATIVE_CONCEPT","","1"
"35x31x80 mm","35x31x80 mm","DISTANCE","","1"
"36%","36%","QUANTITATIVE_CONCEPT","","1"
"36.5 cm2","36.5 cm2","AREA","","1"
"36.6 ml","36.6 ml","VOLUME","","1"
"360 J","360 J","DOSAGE","","1"
"360 ms","360 ms","DURATION","","1"
"36x35x64 mm","36x35x64 mm","DISTANCE","","1"
"375 ms","375 ms","DURATION","","1"
"37x36x57 mm","37x36x57 mm","DISTANCE","","3"
"39-40 mm","39-40 mm","DISTANCE","","1"
"39x29 mm","39x29 mm","AREA","","1"
"3:00","3:00","TIME","","1"
"3x1 mm","3x1 mm","DISTANCE","","2"
"3x2 mm","3x2 mm","DISTANCE","","3"
"3x3 mm","3x3 mm","DISTANCE","","2"
"3x3x3 mm","3x3x3 mm","DISTANCE","","4"
"3x3x4 mm","3x3x4 mm","DISTANCE","","2"
"3x4x3.5 mm","3x4x3.5 mm","DISTANCE","","1"
"3x4x4 mm","3x4x4 mm","DISTANCE","","1"
"4 by 4 millimetres","4 by 4 millimetres","DISTANCE","","3"
"4 by 4.5 by 4 millimetres","4 by 4.5 by 4 millimetres","DISTANCE","","3"
"4 by 5 by 7 millimetres","4 by 5 by 7 millimetres","DISTANCE","","1"
"4-9 mm","4-9 mm","DISTANCE","","1"
"4-chamber view","4-chamber view","DIAGNOSTIC_PROCEDURE","","5"
"4.2 ml","4.2 ml","VOLUME","","1"
"4.4 ml","4.4 ml","VOLUME","","2"
"4.5 ml","4.5 ml","VOLUME","","2"
"4.5x8 mm","4.5x8 mm","DISTANCE","","1"
"4.7","4.7","LAB_VALUE","","2"
"4/6","4/6","LAB_VALUE","","1"
"40 fractions","40 fractions","DOSAGE","","1"
"40 to 60","40 to 60","QUANTITATIVE_CONCEPT","","1"
"40.3 ml","40.3 ml","VOLUME","","3"
"40.7 mm","40.7 mm","LAB_VALUE","","1"
"40.9 mm","40.9 mm","QUANTITATIVE_CONCEPT","","1"
"400 ms","400 ms","LAB_VALUE","","1"
"41-26-78 mm","41-26-78 mm","DISTANCE","","1"
"420 ms","420 ms","DURATION","","3"
"43x27x39 mm","43x27x39 mm","DISTANCE","","1"
"43x27x42 mm","43x27x42 mm","DISTANCE","","1"
"43x30 mm","43x30 mm","DISTANCE","","1"
"44 Gy","44 Gy","DOSAGE","","1"
"44.1 mm","44.1 mm","QUANTITATIVE_CONCEPT","","3"
"44x24 mm","44x24 mm","DISTANCE","","1"
"44x31x58 mm","44x31x58 mm","DISTANCE","","1"
"48x28x70 mm","48x28x70 mm","DISTANCE","","1"
"4x2 mm","4x2 mm","DISTANCE","","1"
"4x2x3 mm","4x2x3 mm","DISTANCE","","2"
"4x3 mm","4x3 mm","DISTANCE","","2"
"4x3x4 mm","4x3x4 mm","DISTANCE","","4"
"4x3x6 mm","4x3x6 mm","DISTANCE","","2"
"4x4 mm","4x4 mm","DISTANCE","","1"
"4x4.5x4 mm","4x4.5x4 mm","DISTANCE","","4"
"4x5 mm","4x5 mm","DISTANCE","","1"
"4x5x7 mm","4x5x7 mm","DISTANCE","","2"
"5 fractions","5 fractions","DOSAGE","","2"
"5%","5%","DOSAGE","","3"
"5-7 mm","5-7 mm","DISTANCE","","2"
"5.2 cm","5.2 cm","DISTANCE","","1"
"5.2 ml","5.2 ml","VOLUME","","4"
"5.5 ml","5.5 ml","VOLUME","","2"
"5.5x11x12 mm","5.5x11x12 mm","DISTANCE","","1"
"5.7 ml","5.7 ml","VOLUME","","1"
"5.72 ml","5.72 ml","VOLUME","","1"
"5.8 ml","5.8 ml","VOLUME","","2"
"5.87 ml","5.87 ml","VOLUME","","1"
"5.9 ml","5.9 ml","VOLUME","","2"
"50 mg/kg","50 mg/kg","DOSAGE","","5"
"50.4 Gy","50.4 Gy","DOSAGE","","1"
"50/50","50/50","QUANTITATIVE_CONCEPT","","1"
"55 Gy","55 Gy","DOSAGE","","2"
"5th rib","5th rib","BIOLOGICAL_STRUCTURE","","1"
"5x10 mm","5x10 mm","DISTANCE","","2"
"5x2 mm","5x2 mm","DISTANCE","","1"
"5x3 mm","5x3 mm","DISTANCE","","1"
"5x3x6 mm","5x3x6 mm","DISTANCE","","1"
"5x4x3 mm","5x4x3 mm","DISTANCE","","1"
"6 by 50 mm","6 by 50 mm","DISTANCE","","1"
"6.1 ml","6.1 ml","VOLUME","","2"
"6.3 ml","6.3 ml","VOLUME","","1"
"6.4 ml","6.4 ml","VOLUME","","1"
"6.5 ml","6.5 ml","VOLUME","","1"
"6.5 mm","6.5 mm","LAB_VALUE","","1"
"6.5x3.5 mm","6.5x3.5 mm","DISTANCE","","1"
"6.6 ml","6.6 ml","VOLUME","","1"
"6.7 ml","6.7 ml","VOLUME","","2"
"6.8 ml","6.8 ml","VOLUME","","1"
"6.9 ml","6.9 ml","VOLUME","","1"
"600 mg","600 mg","DOSAGE","","1"
"61%","61%","LAB_VALUE","","1"
"63 Gy","63 Gy","DOSAGE","","1"
"63%","63%","LAB_VALUE","","1"
"64%","64%","QUANTITATIVE_CONCEPT","","3"
"65x34 mm","65x34 mm","DISTANCE","","1"
"66%","66%","LAB_VALUE","","2"
"68%","68%","LAB_VALUE","","1"
"6x12x5 mm","6x12x5 mm","DISTANCE","","1"
"6x6 mm","6x6 mm","DISTANCE","","1"
"6x6x4 mm","6x6x4 mm","DISTANCE","","1"
"6x8x10 mm","6x8x10 mm","DISTANCE","","1"
"7 by 4 by 7 millimetres","7 by 4 by 7 millimetres","DISTANCE","","1"
"7 by 6 by 7 millimetres","7 by 6 by 7 millimetres","DISTANCE","","1"
"7-day","7-day","DURATION","","1"
"7.0","7.0","QUANTITATIVE_CONCEPT","","2"
"7.3","7.3","LAB_VALUE","","2"
"7.4 ml","7.4 ml","VOLUME","","1"
"7.5x16 mm","7.5x16 mm","AREA","","1"
"7.6 ml","7.6 ml","VOLUME","","1"
"7.8","7.8","LAB_VALUE","","1"
"70-80 g","70-80 g","MASS","","1"
"77x45 mm","77x45 mm","DISTANCE","","1"
"7:00","7:00","TIME","","1"
"7:30","7:30","TIME","","1"
"7x10x14 mm","7x10x14 mm","DISTANCE","","1"
"7x12 mm","7x12 mm","DISTANCE","","2"
"7x2 mm","7x2 mm","DISTANCE","","1"
"7x6x8 mm","7x6x8 mm","DISTANCE","","1"
"7x7x8 mm","7x7x8 mm","DISTANCE","","1"
"7x8x8 mm","7x8x8 mm","DISTANCE","","1"
"7x9x15 mm","7x9x15 mm","DISTANCE","","2"
"7x9x18 mm","7x9x18 mm","DISTANCE","","1"
"7x9x27 mm","7x9x27 mm","DISTANCE","","2"
"8 by 10 mm","8 by 10 mm","DISTANCE","","2"
"8.0","8.0","QUANTITATIVE_CONCEPT","","3"
"8.1 ml","8.1 ml","VOLUME","","2"
"8.6 ml","8.6 ml","VOLUME","","1"
"8.8 ml","8.8 ml","VOLUME","","1"
"80-82%","80-82%","LAB_VALUE","","1"
"80-85 g","80-85 g","DOSAGE","","1"
"85%","85%","QUANTITATIVE_CONCEPT","","1"
"89%","89%","LAB_VALUE","","1"
"8:00","8:00","TIME","","1"
"8x10x21 mm","8x10x21 mm","DISTANCE","","1"
"8x11 mm","8x11 mm","DISTANCE","","1"
"8x16 mm","8x16 mm","DISTANCE","","1"
"8x17 mm","8x17 mm","DISTANCE","","1"
"8x5x13 mm","8x5x13 mm","DISTANCE","","1"
"8x8 mm","8x8 mm","DISTANCE","","1"
"8x9x14 mm","8x9x14 mm","DISTANCE","","1"
"9 May 2023","9 May 2023","DATE","","3"
"9 by 5 by 10 millimetres","9 by 5 by 10 millimetres","DISTANCE","","1"
"9 by 9 by 16 millimetres","9 by 9 by 16 millimetres","DISTANCE","","1"
"9-10 mm","9-10 mm","DISTANCE","","1"
"9.0","9.0","LAB_VALUE","","2"
"9.2 ml","9.2 ml","VOLUME","","2"
"9.3","9.3","LAB_VALUE","","1"
"9.8","9.8","LAB_VALUE","","2"
"9.9 ml","9.9 ml","VOLUME","","1"
"97-99%","97-99%","LAB_VALUE","","1"
"9:00","9:00","TIME","","1"
"9:10","9:10","TIME","","2"
"9:30","9:30","TIME","","1"
"9x14x40 mm","9x14x40 mm","DISTANCE","","1"
"9x5 mm","9x5 mm","DISTANCE","","2"
"9x5x10 mm","9x5x10 mm","DISTANCE","","2"
"9x6x6 mm","9x6x6 mm","DISTANCE","","1"
"9x7","9x7","DISTANCE","","1"
"9x9x16 mm","9x9x16 mm","DISTANCE","","2"
"9x9x24 mm","9x9x24 mm","DISTANCE","","2"
"ACR TI-RADS 2017","ACR TI-RADS 2017","DIAGNOSTIC_PROCEDURE","","2"
"AITD","AITD","DISEASE_DISORDER","","1"
"ALK-BOND-","ALK-BOND-","LAB_VALUE","","1"
"APC-R","APC-R","DIAGNOSTIC_PROCEDURE","","2"
"AV annulus","AV annulus","BIOLOGICAL_STRUCTURE","","1"
"Acellular material","Acellular material","DETAILED_DESCRIPTION","","1"
"Activon Tube Manuka honey","Activon Tube Manuka honey","MEDICATION","","1"
"Adding salt to meals","Adding salt to meals","THERAPEUTIC_PROCEDURE","","1"
"Adult Cardiology Clinic","Adult Cardiology Clinic","NONBIOLOGICAL_LOCATION","","2"
"Ag-","Ag-","LAB_VALUE","","1"
"Alantan","Alantan","MEDICATION","","1"
"Altered marrow signal","Altered marrow signal","SIGN_SYMPTOM","","1"
"Analgesic treatment","Analgesic treatment","THERAPEUTIC_PROCEDURE","","2"
"Aquacel Foam","Aquacel Foam","MEDICATION","","1"
"Arrhythmia Clinic of the University Clinical Centre","Arrhythmia Clinic of the University Clinical Centre","NONBIOLOGICAL_LOCATION","","2"
"Arterial Hypertension Clinic of the University Clinical Centre","Arterial Hypertension Clinic of the University Clinical Centre","NONBIOLOGICAL_LOCATION","","1"
"Asynchronous ventilation","Asynchronous ventilation","THERAPEUTIC_PROCEDURE","","2"
"Atrauman Ag","Atrauman Ag","MEDICATION","","2"
"Atrauman Ag mesh dressing","Atrauman Ag mesh dressing","MEDICATION","","1"
"Atrauman Ag+ dressing","Atrauman Ag+ dressing","MEDICATION","","1"
"Atrophy of the sternocleidomastoid and trapezius muscles on the right side","Atrophy of the sternocleidomastoid and trapezius muscles on the right side","SIGN_SYMPTOM","","1"
"BIRADS 2","BIRADS 2","LAB_VALUE","","2"
"Baastrup's sign","Baastrup's sign","DISEASE_DISORDER","","1"
"Background parenchyma","Background parenchyma","BIOLOGICAL_STRUCTURE","","1"
"Bactigras","Bactigras","MEDICATION","","1"
"Belosalic ointment","Belosalic ointment","MEDICATION","","1"
"Biały Jeleń","Biały Jeleń","MEDICATION","","2"
"Bibloc","Bibloc","MEDICATION","","1"
"Bilaterally within the","Bilaterally within the","DETAILED_DESCRIPTION","","1"
